0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	Moti	27.00
Střih	Číslo výrobku	EAN	Název	Typ výrobku	Provedení	S	MJ	Počet	Orintace	RAL	Barva základní části	Vzor	RAL	Barva dna, kapsy	Vzor	Typ	Materiál	Délka (m)	Šířka (mm)	Barva			Uchycení			NC-P	PC-P
003	003-05-01/0005	8595700100652	SÁRA	Kabelka	0005	A	ks	2	Vodorovně	9010	Čistě bílá		7035	Světle šedá		Ucha	Kůže	0,7	12	1017	Přírodní		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0006	8595700100669	SÁRA	Kabelka	0006	A	ks	2	Vodorovně	9010	Čistě bílá		7035	Světle šedá		Ucha	Kůže	0,7	12	5003	Modrá		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0007	8595700100676	SÁRA	Kabelka	0007	A	ks	2	Vodorovně	9010	Čistě bílá		7035	Světle šedá		Ucha	Kůže	0,7	12	8017	Čokoládová hnědá		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0008	8595700100683	SÁRA	Kabelka	0008	A	ks	2	Vodorovně	9010	Čistě bílá		9005	Černá		Ucha	Kůže	0,7	12	9005	Černá		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0009	8595700100690	SÁRA	Kabelka	0009	A	ks	2	Vodorovně	9010	Čistě bílá		9005	Černá		Ucha	Kůže	0,7	12	3028	Červená		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0010	8595700100706	SÁRA	Kabelka	0010	A	ks	2	Vodorovně	9010	Čistě bílá		9005	Černá		Ucha	Kůže	0,7	12	2011	Medová		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0011	8595700100713	SÁRA	Kabelka	0011	A	ks	2	Vodorovně	9010	Čistě bílá		9005	Černá		Ucha	Kůže	0,7	12	1017	Přírodní		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0012	8595700100720	SÁRA	Kabelka	0012	A	ks	2	Vodorovně	9010	Čistě bílá		9005	Černá		Ucha	Kůže	0,7	12	5003	Modrá		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0013	8595700100737	SÁRA	Kabelka	0013	A	ks	2	Vodorovně	9010	Čistě bílá		9005	Černá		Ucha	Kůže	0,7	12	8017	Čokoládová hnědá		Sedlářský nýt - šroubovací	PURO - 1/3 šedá, 2/3 bílá bez motivu	Průchodka kulatá - nikl	978.54	1566.12
003	003-05-01/0014	8595700100744	SÁRA	Kabelka	0014	A	ks	2	Vodorovně	9010	Čistě bílá		3028	Červená		Ucha	Kůže	0,7	12	9005	Černá		Sedlářský nýt - šroubovací	Hanunka - tištěná	Průchodka kulatá - nikl	1158.86	1855.37
